title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
spiralStaircase2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,358.13,200,false,,
squareFrame,Free Art License 1.3,Ola-Kristian Hoff & Annick,#threed-link,1,1,1,100,100.03,10,,,
squareSpiralStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,355.56,100.03,false,,
stainlessSteelShelf,Free Art License 1.3,N Mi,#threed-link,1,1,1,48,10,18,,,
staircaseCurvedAtTop,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200.01,358.45,400.96,false,,
staircaseLadder,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,58,265,114,false,,
staircaseSamba,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,85,265,149.99,false,,
staircaseWithOpenStringer,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,79.99,350.22,334.33,false,,
steelShelves,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,80,179.99,30,,,
steepStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,94.44,360.76,167.13,false,,
stool,CC0,ThreeD Garden,#threed-link,1,1,1,53.02,97.96,52.1,,,
stool2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,51.13,101.71,44.19,,,
stove,Free Art License 1.3,Pencilart,#threed-link,1,1,1,59.99,74.93,67.42,,,
stove2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,60.18,117.18,56.14,,,
stove3,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,60.18,203.05,52.77,,,
straightStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,90,353.9,341.67,false,,
straightStaircase2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,90,355.93,307.77,false,,
swimmingPool,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,831.99,212.74,339.07,,,
table2,Free Art License 1.3,Icybones,#threed-link,1,1,1,203.29,87.54,106.33,,,
toaster,Free Art License 1.3,Toomy,#threed-link,1,1,1,34.22,17.98,11.89,,,
toothBrushesAndPaste,Free Art License 1.3,Toomy,#threed-link,1,1,1,7.19,18.22,8.67,,,
topWinderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,99.99,347.36,329.99,false,,
towelAndMedicineCabinet,Free Art License 1.3,Pencilart,#threed-link,1,1,1,55.95,130.32,55.26,,,
tripleWinderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,225,345,225,false,,
trunk,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,118,58,45,,,
tvCenter,Free Art License 1.3,Pencilart,#threed-link,1,1,1,77.21,129.9,53.82,,,
tvShelfUnit,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,103.8,33.29,44.44,,,
upperCabinet,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,60,28.48,45.59,,,
washbasinWithCabinet,Free Art License 1.3,Snduc,#threed-link,1,1,1,121.99,78,55,,,
washerDryer,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,59.5,85,54.99,,,
wheelieBin,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,101.47,62.5,,,
winderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,179,362.8,253.99,false,,
window,Free Art License 1.3,Pencilart,#threed-link,1,1,1,58.14,90.57,3.26,true,,
window2x3,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,56,110,35,true,,
windowFrostedGlass,Free Art License 1.3,Pencilart,#threed-link,1,1,1,58.86,90.57,2.68,true,,
windowShutter,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,43.88,129,2.92,,,
windowStainGlass,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,80,119.99,16,true,,
wineRack,Free Art License 1.3,Sophie,#threed-link,1,1,1,51.92,52,25.04,,,
woodShelves,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,77.99,170.99,31.51,,,
woodShelves2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,77,169.99,37,,,
saplingTree,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,199.08,428.26,203.53,false,,
cube,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,,
cylinder,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,,
prism,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,,
bifoldDoor,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,400,220,21.99,true,,
frontDoor,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,150,240,22,true,,
rug,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,149.99,0.5,230,false,,
fencePanel,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,299.99,180,12.03,false,,
dirt,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,99.99,1,100,false,,
